"variable","lc","mean.P","quartile75","quartile25","lower","effect","upper","run"
"Acid.phosphatase","Cropland",0.5791544342086,0.807902066236875,0.372822321462185,-0.712731318055633,-0.177014013290361,0.360882389840806,500.5
"Acid.phosphatase","Grassland",0.632450221719442,0.814565613667595,0.467919954011427,-0.456843952134568,0.104194790532244,0.662541370435008,500.5
"Acid.phosphatase","Other",0.48297604748294,0.677711002472622,0.260335407498993,-0.94717106337387,0.0852691516251466,1.11253150085162,500.5
"Acid.phosphatase","Woodland",0.596195711969772,0.827894297156285,0.404886302752937,-0.594689404065508,-0.103217121838059,0.389951707985848,500.5
"Basal_respiration","Cropland",0.515401001217026,0.765962965223432,0.262770360237836,-0.868198775407449,-0.330107418312978,0.212010126521617,500.5
"Basal_respiration","Grassland",0.291906114635645,0.397861141809293,0.119632447820481,-0.41272967675315,0.15141381324138,0.711737528242781,500.5
"Basal_respiration","Other",0.249203593906161,0.339056303393565,0.105912090455959,-0.740160710380434,0.279866735396555,1.27588261660174,500.5
"Basal_respiration","Woodland",0.514724917285574,0.725897101134167,0.311867082960992,-0.799780345603281,-0.30418337947941,0.196305676021043,500.5
"beta.glucosidase","Cropland",0.615285628591667,0.820660714758226,0.426860595315142,-0.525927083109626,0.00953743910558435,0.544882669870741,500.5
"beta.glucosidase","Grassland",0.609907131584058,0.823823553438047,0.414044722826483,-0.513841457713116,0.0459460888273043,0.604629471565467,500.5
"beta.glucosidase","Other",0.724586768888397,0.887076532880559,0.597149746125365,-0.602791243225574,0.432988650841229,1.43185833780613,500.5
"beta.glucosidase","Woodland",0.359153005035953,0.45208621644575,0.244264117796468,-0.53852444537188,-0.0460437829751011,0.447183159333501,500.5
"Cellulase","Cropland",0.610472181676313,0.810497017614988,0.415621210141526,-0.775492430431367,-0.239059673023411,0.300304868451208,500.5
"Cellulase","Grassland",0.491681828866853,0.668153190275103,0.293278474501117,-0.621954817706361,-0.0635447660079067,0.496601321601258,500.5
"Cellulase","Other",0.401467513778463,0.555363988871585,0.210081508069774,-0.588761569184064,0.446596658231371,1.44343266427293,500.5
"Cellulase","Woodland",0.312219715497247,0.364948946561401,0.241375484209707,-0.311129177313855,0.184353653453344,0.676816299654296,500.5
"Cmic","Cropland",0.657634617615478,0.867503811981847,0.490608851098304,-0.0544936843739246,0.494648289239052,1.03790722764375,500.5
"Cmic","Grassland",0.647382621724606,0.845685834563826,0.475254680768679,-0.550807629535171,0.00725335952232666,0.565169905553761,500.5
"Cmic","Other",0.16772247890654,0.215545115299347,0.0900213706186584,-0.398459793068956,0.700343935165576,1.74667434054674,500.5
"Cmic","Woodland",0.19000657827384,0.255339263894951,0.0648145594900525,-0.517382667240234,-0.0251960405544251,0.467407412526235,500.5
"MWD","Cropland",0.621425672763142,0.832529837174148,0.433816412963863,-0.490053487122685,0.0456988045061526,0.58088633168306,500.5
"MWD","Grassland",0.515118439108361,0.730047774968551,0.297227628475367,-0.491072504672822,0.0688752527837818,0.626991705175094,500.5
"MWD","Other",0.720303352697959,0.877698184578182,0.586097043405577,-1.19254190588919,-0.199479295793962,0.810115312020511,500.5
"MWD","Woodland",0.619534969927164,0.818383346171035,0.436122875521649,-0.326082237116071,0.169368932411054,0.662061811450263,500.5
"N.actylglucosaminidase","Cropland",0.59944368017253,0.806998584925156,0.421528411202385,-0.484838699622011,0.0512263651195934,0.586650338681165,500.5
"N.actylglucosaminidase","Grassland",0.560164777374212,0.784458209340697,0.355170913772728,-0.563836005478274,-0.00416550095250141,0.555703120903437,500.5
"N.actylglucosaminidase","Other",0.675239845100995,0.855448279570531,0.530417330658865,-0.620362174459343,0.41531729171214,1.41627018464048,500.5
"N.actylglucosaminidase","Woodland",0.409929828663696,0.537517050254755,0.245458058109151,-0.548466566604244,-0.0556243173929341,0.438111318571268,500.5
"WSA","Cropland",0.63802827205849,0.844553789845703,0.448980414626419,-0.348176835687021,0.190090389151116,0.726024800495145,500.5
"WSA","Grassland",0.624301712801489,0.825367991392571,0.451864619272438,-0.565619492110081,-0.00725715398891506,0.551301704457632,500.5
"WSA","Other",0.516541859617291,0.705060738754164,0.31859393926454,-0.400328927000732,0.706214105552487,1.76199981870133,500.5
"WSA","Woodland",0.241907032595723,0.342673563810628,0.0834107395371284,-0.409609727992465,0.0837601229934583,0.57575643334287,500.5
"Xylosidase","Cropland",0.645770728372676,0.842853125229562,0.47844808614748,-0.353395735197553,0.185062937750763,0.721256027116246,500.5
"Xylosidase","Grassland",0.384152613705123,0.560993859882274,0.167510164868238,-0.471336985165582,0.0871756431833814,0.643416344451139,500.5
"Xylosidase","Other",0.542694879466426,0.756429681061111,0.327612225955194,-0.847801936123772,0.165270425420265,1.1635939294754,500.5
"Xylosidase","Woodland",0.574592380349552,0.783331243770774,0.404693149054719,-0.740998698390482,-0.246777602892463,0.251427858112289,500.5
