"variable","lc","mean.P","quartile75","quartile25"
"Acid.phosphatase","Cropland",0.5791544342086,0.807902066236875,0.372822321462185
"Acid.phosphatase","Grassland",0.632450221719442,0.814565613667595,0.467919954011427
"Acid.phosphatase","Other",0.48297604748294,0.677711002472622,0.260335407498993
"Acid.phosphatase","Woodland",0.596195711969772,0.827894297156285,0.404886302752937
"Basal_respiration","Cropland",0.515401001217026,0.765962965223432,0.262770360237836
"Basal_respiration","Grassland",0.291906114635645,0.397861141809293,0.119632447820481
"Basal_respiration","Other",0.249203593906161,0.339056303393565,0.105912090455959
"Basal_respiration","Woodland",0.514724917285574,0.725897101134167,0.311867082960992
"beta.glucosidase","Cropland",0.615285628591667,0.820660714758226,0.426860595315142
"beta.glucosidase","Grassland",0.609907131584058,0.823823553438047,0.414044722826483
"beta.glucosidase","Other",0.724586768888397,0.887076532880559,0.597149746125365
"beta.glucosidase","Woodland",0.359153005035953,0.45208621644575,0.244264117796468
"Cellulase","Cropland",0.610472181676313,0.810497017614988,0.415621210141526
"Cellulase","Grassland",0.491681828866853,0.668153190275103,0.293278474501117
"Cellulase","Other",0.401467513778463,0.555363988871585,0.210081508069774
"Cellulase","Woodland",0.312219715497247,0.364948946561401,0.241375484209707
"Cmic","Cropland",0.657634617615478,0.867503811981847,0.490608851098304
"Cmic","Grassland",0.647382621724606,0.845685834563826,0.475254680768679
"Cmic","Other",0.16772247890654,0.215545115299347,0.0900213706186584
"Cmic","Woodland",0.19000657827384,0.255339263894951,0.0648145594900525
"MWD","Cropland",0.621425672763142,0.832529837174148,0.433816412963863
"MWD","Grassland",0.515118439108361,0.730047774968551,0.297227628475367
"MWD","Other",0.720303352697959,0.877698184578182,0.586097043405577
"MWD","Woodland",0.619534969927164,0.818383346171035,0.436122875521649
"N.actylglucosaminidase","Cropland",0.59944368017253,0.806998584925156,0.421528411202385
"N.actylglucosaminidase","Grassland",0.560164777374212,0.784458209340697,0.355170913772728
"N.actylglucosaminidase","Other",0.675239845100995,0.855448279570531,0.530417330658865
"N.actylglucosaminidase","Woodland",0.409929828663696,0.537517050254755,0.245458058109151
"WSA","Cropland",0.63802827205849,0.844553789845703,0.448980414626419
"WSA","Grassland",0.624301712801489,0.825367991392571,0.451864619272438
"WSA","Other",0.516541859617291,0.705060738754164,0.31859393926454
"WSA","Woodland",0.241907032595723,0.342673563810628,0.0834107395371284
"Xylosidase","Cropland",0.645770728372676,0.842853125229562,0.47844808614748
"Xylosidase","Grassland",0.384152613705123,0.560993859882274,0.167510164868238
"Xylosidase","Other",0.542694879466426,0.756429681061111,0.327612225955194
"Xylosidase","Woodland",0.574592380349552,0.783331243770774,0.404693149054719
